ncircles,popsize,cprob,mprob,mrange,sp,fitness,covered,overlaped
10,60,0.650,0.080,0.050,0.35,95.8188,95.8188,0.0000
10,60,0.650,0.080,0.060,0.35,96.5157,96.5157,0.0000
10,60,0.650,0.080,0.070,0.35,93.0314,93.0314,0.0000
-------------------------------------------
10,60,0.800,0.020,0.030,0.35,68.2927,68.2927,0.0000
10,60,0.800,0.020,0.040,0.35,96.1672,96.1672,0.0000
10,60,0.800,0.020,0.050,0.35,91.6376,91.6376,0.0000
10,60,0.800,0.020,0.060,0.35,87.1080,87.1080,0.0000
10,60,0.800,0.020,0.070,0.35,88.5017,88.5017,0.0000
10,60,0.800,0.030,0.030,0.35,92.3345,92.3345,0.0000
10,60,0.800,0.030,0.040,0.35,95.1220,95.1220,0.0000
10,60,0.800,0.030,0.050,0.35,92.6829,92.6829,0.0000
10,60,0.800,0.030,0.060,0.35,93.0314,93.0314,0.0000
10,60,0.800,0.030,0.070,0.35,97.5610,97.5610,0.0000
10,60,0.800,0.040,0.030,0.35,96.1672,96.1672,0.0000
10,60,0.800,0.040,0.040,0.35,96.8641,96.8641,0.0000
10,60,0.800,0.040,0.050,0.35,87.1080,87.1080,0.0000
10,60,0.800,0.040,0.060,0.35,90.9408,90.9408,0.0000
10,60,0.800,0.040,0.070,0.35,91.6376,91.6376,0.0000
10,60,0.800,0.050,0.030,0.35,96.1672,96.1672,0.0000
10,60,0.800,0.050,0.040,0.35,97.2125,97.2125,0.0000
10,60,0.800,0.050,0.050,0.35,94.0767,94.0767,0.0000
10,60,0.800,0.050,0.060,0.35,91.9861,91.9861,0.0000
10,60,0.800,0.050,0.070,0.35,93.0314,93.0314,0.0000
10,60,0.800,0.060,0.030,0.35,96.1672,96.1672,0.0000
10,60,0.800,0.060,0.040,0.35,94.4251,94.4251,0.0000
10,60,0.800,0.060,0.050,0.35,94.4251,94.4251,0.0000
10,60,0.800,0.060,0.060,0.35,91.2892,91.2892,0.0000
10,60,0.800,0.060,0.070,0.35,92.6829,92.6829,0.0000
10,60,0.800,0.070,0.030,0.35,97.5610,97.5610,0.0000
10,60,0.800,0.070,0.040,0.35,96.8641,96.8641,0.0000
10,60,0.800,0.070,0.050,0.35,89.5470,89.5470,0.0000
10,60,0.800,0.070,0.060,0.35,88.8502,88.8502,0.0000
10,60,0.800,0.070,0.070,0.35,91.6376,91.6376,0.0000
10,60,0.800,0.080,0.030,0.35,89.5470,89.5470,0.0000
10,60,0.800,0.080,0.040,0.35,90.2439,90.2439,0.0000
10,60,0.800,0.080,0.050,0.35,89.8955,89.8955,0.0000
10,60,0.800,0.080,0.060,0.35,91.9861,91.9861,0.0000
10,60,0.800,0.080,0.070,0.35,94.0767,94.0767,0.0000
-------------------------------------------
