ncircles,popsize,cprob,mprob,mrange,sp,fitness,covered,overlaped
12,40,0.650,0.050,0.070,0.35,75.3402,75.3402,0.0000
12,40,0.650,0.060,0.030,0.35,79.3685,79.3685,0.0000
12,40,0.650,0.060,0.040,0.35,86.2820,86.2820,0.0000
12,40,0.650,0.060,0.050,0.35,85.6287,85.6287,0.0000
12,40,0.650,0.060,0.060,0.35,75.7757,75.7757,0.0000
12,40,0.650,0.060,0.070,0.35,80.5117,80.5117,0.0000
12,40,0.650,0.070,0.030,0.35,85.0299,85.0299,0.0000
12,40,0.650,0.070,0.040,0.35,83.7235,83.7235,0.0000
12,40,0.650,0.070,0.050,0.35,84.2134,84.2134,0.0000
12,40,0.650,0.070,0.060,0.35,77.2999,77.2999,0.0000
12,40,0.650,0.070,0.070,0.35,81.4916,81.4916,0.0000
12,40,0.650,0.080,0.030,0.35,84.4311,84.4311,0.0000
12,40,0.650,0.080,0.040,0.35,81.7637,81.7637,0.0000
12,40,0.650,0.080,0.050,0.35,75.0136,75.0136,0.0000
12,40,0.650,0.080,0.060,0.35,75.2314,75.2314,0.0000
12,40,0.650,0.080,0.070,0.35,85.3021,85.3021,0.0000
-------------------------------------------
12,40,0.800,0.020,0.030,0.35,85.6832,85.6832,0.0000
12,40,0.800,0.020,0.040,0.35,78.2798,78.2798,0.0000
12,40,0.800,0.020,0.050,0.35,75.0680,75.0680,0.0000
12,40,0.800,0.020,0.060,0.35,77.0278,77.0278,0.0000
12,40,0.800,0.020,0.070,0.35,77.6810,77.6810,0.0000
12,40,0.800,0.030,0.030,0.35,81.0016,81.0016,0.0000
12,40,0.800,0.030,0.040,0.35,75.3947,75.3947,0.0000
12,40,0.800,0.030,0.050,0.35,78.3887,78.3887,0.0000
12,40,0.800,0.030,0.060,0.35,80.8928,80.8928,0.0000
12,40,0.800,0.030,0.070,0.35,78.0076,78.0076,0.0000
12,40,0.800,0.040,0.030,0.35,82.7980,82.7980,0.0000
12,40,0.800,0.040,0.040,0.35,83.7235,83.7235,0.0000
12,40,0.800,0.040,0.050,0.35,83.1247,83.1247,0.0000
12,40,0.800,0.040,0.060,0.35,82.5259,82.5259,0.0000
12,40,0.800,0.040,0.070,0.35,71.8637,75.7757,0.0544
12,40,0.800,0.050,0.030,0.35,83.1791,83.1791,0.0000
12,40,0.800,0.050,0.040,0.35,88.8949,88.8949,0.0000
12,40,0.800,0.050,0.050,0.35,85.8465,85.8465,0.0000
12,40,0.800,0.050,0.060,0.35,76.8100,76.8100,0.0000
12,40,0.800,0.050,0.070,0.35,87.4796,87.4796,0.0000
12,40,0.800,0.060,0.030,0.35,87.5340,87.5340,0.0000
12,40,0.800,0.060,0.040,0.35,79.6952,79.6952,0.0000
12,40,0.800,0.060,0.050,0.35,76.6467,76.6467,0.0000
12,40,0.800,0.060,0.060,0.35,74.1971,74.1971,0.0000
12,40,0.800,0.060,0.070,0.35,80.6750,80.6750,0.0000
12,40,0.800,0.070,0.030,0.35,81.0016,81.0016,0.0000
12,40,0.800,0.070,0.040,0.35,86.9897,86.9897,0.0000
12,40,0.800,0.070,0.050,0.35,85.0844,85.0844,0.0000
12,40,0.800,0.070,0.060,0.35,80.5885,84.9755,0.0544
12,40,0.800,0.070,0.070,0.35,81.0561,81.0561,0.0000
12,40,0.800,0.080,0.030,0.35,84.1590,84.1590,0.0000
12,40,0.800,0.080,0.040,0.35,77.8987,77.8987,0.0000
12,40,0.800,0.080,0.050,0.35,80.5117,80.5117,0.0000
12,40,0.800,0.080,0.060,0.35,82.1992,82.1992,0.0000
12,40,0.800,0.080,0.070,0.35,74.3059,74.3059,0.0000
-------------------------------------------
12,50,0.300,0.020,0.030,0.35,78.0621,78.0621,0.0000
12,50,0.300,0.020,0.040,0.35,82.3081,82.3081,0.0000
12,50,0.300,0.020,0.050,0.35,83.5057,83.5057,0.0000
12,50,0.300,0.020,0.060,0.35,76.1023,76.1023,0.0000
12,50,0.300,0.020,0.070,0.35,73.4894,73.4894,0.0000
12,50,0.300,0.030,0.030,0.35,89.4393,89.4393,0.0000
12,50,0.300,0.030,0.040,0.35,81.9271,81.9271,0.0000
12,50,0.300,0.030,0.050,0.35,81.1105,81.1105,0.0000
12,50,0.300,0.030,0.060,0.35,76.5923,76.5923,0.0000
12,50,0.300,0.030,0.070,0.35,76.6467,76.6467,0.0000
12,50,0.300,0.040,0.030,0.35,81.2194,81.2194,0.0000
12,50,0.300,0.040,0.040,0.35,81.3283,81.3283,0.0000
12,50,0.300,0.040,0.050,0.35,85.8465,85.8465,0.0000
12,50,0.300,0.040,0.060,0.35,71.8019,71.8019,0.0000
12,50,0.300,0.040,0.070,0.35,78.7697,78.7697,0.0000
12,50,0.300,0.050,0.030,0.35,86.5542,86.5542,0.0000
12,50,0.300,0.050,0.040,0.35,82.1448,82.1448,0.0000
12,50,0.300,0.050,0.050,0.35,83.1247,83.1247,0.0000
12,50,0.300,0.050,0.060,0.35,79.8040,79.8040,0.0000
12,50,0.300,0.050,0.070,0.35,85.4110,85.4110,0.0000
12,50,0.300,0.060,0.030,0.35,88.4050,88.4050,0.0000
12,50,0.300,0.060,0.040,0.35,87.9151,87.9151,0.0000
12,50,0.300,0.060,0.050,0.35,88.2961,88.2961,0.0000
12,50,0.300,0.060,0.060,0.35,82.6347,82.6347,0.0000
