lat,lon
12.8984603,77.6010688
12.8973119,77.6015666
12.8922129,77.5985137
12.9333646,77.6230728
12.9329534,77.6132988
12.9152889,77.6485692
12.9163076,77.6103158
12.8835332,77.7502633
12.9606568,77.6385011
12.9619513,77.6419064
12.9558995,77.6411692
12.974214,77.5754007
12.9651393,77.6383211
12.9637134,77.6403936
12.9545997,77.592852
12.9757533,77.6014888
13.0425174,77.614002
12.9566407,77.7151548
12.9782249,77.640632
12.9688559,77.6020522
13.0492109,77.547547
12.9720275,77.600912
12.9778503,77.5722059
12.9760075,77.5763577
12.9550389,77.5854279
12.9665538,77.6141032
13.0259923,77.6405519
13.0261391,77.6362268
12.9955258,77.5717703
12.9931291,77.5715961
12.9736365,77.5791669
13.0055684,77.5712186
12.9504549,77.6999246
12.9506894,77.5786753
12.9505258,77.5785913
12.9507057,77.5784906
12.9522306,77.5897955
12.9951833,77.5396211
13.02807,77.5729018
12.932679,77.6135844
12.9897552,77.5929937
12.9932336,77.5957651
12.9930635,77.5959522
12.9901236,77.5722985
12.9603346,77.6382904
13.0192135,77.5572955
12.9558467,77.7127571
13.0520697,77.5516404
12.9309204,77.5840319
12.9330581,77.584422
12.9330431,77.5843044
12.9261789,77.5848245
12.9732771,77.6034167
13.0489683,77.5440769
13.004176,77.5712511
13.0330093,77.5691944
13.0330896,77.569359
13.0146925,77.5687295
13.0292165,77.5709225
13.006544,77.5692433
13.0218399,77.5349348
13.0220281,77.5340657
13.0380165,77.5693434
13.03405,77.5687418
13.0342347,77.5693249
13.0162478,77.5648911
13.0372579,77.566121
12.971852,77.5964092
12.9600242,77.6015444
12.9601639,77.5945806
12.994359,77.5711764
13.0055229,77.5785182
13.0275961,77.5766293
13.0068412,77.5789439
13.027204,77.57712
12.991491,77.5941489
13.0070953,77.5787894
12.9870446,77.5947029
12.9887157,77.5939709
12.9704007,77.5874248
12.9803653,77.5950694
12.9758502,77.5891031
12.9671651,77.580199
12.9703805,77.5800395
12.9795054,77.6026954
12.9847344,77.5971261
12.9851989,77.5794229
13.0068783,77.5790907
13.0144093,77.5736842
12.9711937,77.6007788
12.982738,77.6030551
12.9772698,77.570304
12.9772479,77.5704213
12.9774742,77.5693878
13.0152294,77.5628328
12.9622135,77.6414116
12.9893411,77.5929583
12.9590966,77.6544331
13.0273116,77.5934753
12.9753625,77.6051643
13.0228247,77.6477855
12.959041,77.6564566
12.9699613,77.6473796
12.9149626,77.6149914
12.9136711,77.6075616
12.9136816,77.6077065
12.9137391,77.6084146
12.9131335,77.6101228
12.9135311,77.6099456
12.9135343,77.6099264
12.9138914,77.6099924
12.9387161,77.5534116
12.9261046,77.5502503
12.9237141,77.5534616
12.9437007,77.5649097
12.9888296,77.7339683
12.931753,77.68645
12.9497553,77.6998051
12.9769644,77.7102829
12.973597,77.678189
12.9916553,77.7207261
12.989294,77.7125997
12.9773708,77.6954828
12.9775851,77.6954241
12.9805079,77.6937246
12.9890678,77.7116566
12.9845859,77.5875117
12.9570571,77.7091042
12.9656267,77.7018348
12.9745381,77.6096029
13.0015628,77.5993592
12.97241,77.6068894
12.934729,77.6125976
12.9577184,77.7085947
12.9855001,77.6732164
12.980115,77.6405511
12.9792475,77.7512731
12.9753754,77.6028942
12.9673994,77.7146901
12.9377655,77.6267552
12.9594188,77.6486258
12.9800101,77.7271406
12.9723658,77.7178119
12.971742,77.7175491
12.9856254,77.5788885
12.9853569,77.5792692
12.9853129,77.5792466
12.9578638,77.5932147
12.966942,77.60796
12.9598156,77.7481385
12.9598316,77.7473381
12.9598375,77.7476967
12.9598229,77.7479363
12.9598943,77.7481291
12.9800191,77.6948879
12.9793213,77.6952589
12.9788613,77.6946259
