lat,lon
28.6069461,77.2299189
28.5663466,77.2340571
28.594222,77.3389703
28.6368844,77.37601
28.6740388,77.1037651
28.5917336,77.3484898
28.6407045,77.2105994
28.635243,77.2196937
28.6144231,77.2768034
28.5853414,77.1805708
28.7029917,77.1576044
28.7026341,77.1577761
28.6361048,77.0652214
28.6334431,77.2084285
28.6234479,77.0919202
28.6653614,77.2842171
28.5791401,77.3346425
28.7035536,77.2283239
28.5622333,77.2688316
28.562363,77.2686705
28.6253844,77.2181175
28.5995254,77.226395
28.6297269,77.2320267
28.629465,77.2318985
28.6532866,77.3427559
28.5548812,77.1941907
28.5558691,77.1951817
28.6642061,77.3230335
28.5668787,77.2467816
28.6142041,77.3715342
28.6409278,77.2137181
28.6410117,77.2137916
28.6169212,77.225998
28.6494769,77.2337391
28.6461911,77.2400153
28.5543725,77.194533
28.580551,77.2416264
28.5802424,77.2415889
28.5828255,77.2452383
28.5837355,77.2437849
28.6323764,77.2172154
28.589224,77.225738
28.5678793,77.1945428
28.5535393,77.1943223
28.6712618,77.1342091
28.5575626,77.1640349
28.6705911,77.1339317
28.6706413,77.1340058
28.6045562,77.2282311
28.6411417,77.2137445
28.5896864,77.3615378
28.6337495,77.2230833
28.640973,77.2137407
28.6414451,77.2132453
28.6403009,77.2131013
28.6025805,77.2409575
28.6931535,77.2047845
28.6948692,77.2042864
28.5900739,77.2259246
28.6117129,77.3358773
28.6114967,77.3360041
28.6116229,77.3357988
28.7058631,77.2121825
28.5819064,77.3137283
28.6310191,77.2197896
28.5734423,77.2062342
28.570583,77.3258599
28.6314049,77.2204463
28.5709602,77.3236279
28.5710306,77.3252308
28.6342635,77.2190699
28.635221,77.2201059
28.5996402,77.2262942
28.6334275,77.2080471
28.5572536,77.2023928
28.5706679,77.3258447
28.6328321,77.0867027
28.645305,77.1785622
28.5764448,77.1957107
28.6410445,77.2105515
28.6410765,77.2126795
28.7150797,77.2161437
28.6335971,77.2212499
28.6303156,77.2206535
28.6411171,77.2144269
28.6408661,77.2103053
28.6887399,77.134831
28.6836786,77.1358422
28.6303463,77.217545
28.6313321,77.2197505
28.5995342,77.2251048
28.6297728,77.2203117
28.6077697,77.2297231
28.6420621,77.2179887
28.6278114,77.3079646
28.6278787,77.3080498
28.6279122,77.3081375
28.6280352,77.3086694
28.6279719,77.3090522
28.5550445,77.1950638
28.6005499,77.2273055
28.6328293,77.2172007
28.629042,77.076916
28.6883445,77.1218091
28.6882438,77.1212148
28.6882544,77.1214711
28.5999552,77.2261708
28.5998176,77.2261768
28.6412137,77.2147624
28.6415909,77.2155347
28.6204506,77.2181178
28.6098311,77.2323979
28.6080303,77.2302149
28.6452167,77.2110064
28.6424044,77.2103819
28.6021414,77.2279557
28.5557691,77.2183297
28.6018922,77.1936521
28.6494365,77.2335183
28.6482081,77.2336645
28.6335111,77.2212566
28.6423302,77.2182562
28.642273,77.218265
28.6424057,77.2182489
28.6424536,77.2182429
28.5528178,77.2046567
28.5567211,77.2053108
28.6321017,77.2077833
28.6405446,77.217099
28.6409944,77.2127435
28.6299114,77.2172701
28.6465886,77.1957658
28.641127,77.2135184
28.6453864,77.1839126
28.6478146,77.2399952
28.6415665,77.2126308
28.6177243,77.2796696
28.6353146,77.2206088
28.6333695,77.2212936
28.6270709,77.2196874
28.6325028,77.2214473
28.630182,77.2204075
28.557032,77.2327676
28.6005965,77.2275636
28.5812648,77.2426451
28.6409867,77.2108048
28.5624857,77.2446429
28.6278217,77.2198565
28.6312559,77.2204304
28.63412,77.2222423
28.6249108,77.2194157
28.6321991,77.2163026
28.551203,77.2515575
28.5594484,77.1963657
28.5625301,77.2239752
28.6078424,77.2295577
28.6341417,77.2187952
28.5537018,77.2407879
28.5524643,77.2414259
28.6027056,77.1865603
28.6579615,77.2233418
28.6580128,77.2233194
28.657558,77.2231804
28.5751812,77.1393042
28.5818967,77.1492702
28.6006439,77.2272569
28.5548468,77.1951725
28.5917587,77.2379033
28.551392,77.2084764
28.6069705,77.2907555
28.6069381,77.2905963
28.564158,77.2342766
28.5639952,77.2342912
28.5634458,77.2344541
28.5702091,77.2375367
28.5546855,77.1224691
28.6119427,77.2887478
28.5706695,77.2424491
28.6118764,77.2888106
28.6026965,77.2410926
28.6117937,77.2872019
28.6408832,77.213014
28.6353446,77.2203635
28.6321519,77.2226463
28.6396558,77.369791
28.6397241,77.3696032
28.5528582,77.2409044
28.5590342,77.1709638
28.615296,77.2782886
28.5651736,77.1672697
28.6611454,77.302603
28.6303544,77.2776624
28.6329164,77.2808368
28.5535312,77.1940939
28.5626341,77.2688626
28.6409369,77.2135742
28.670219,77.32871
28.668858,77.32995
28.669386,77.330925
28.670133,77.325455
28.66839,77.330018
28.668159,77.329798
28.657389,77.32306
28.5745561,77.229256
28.6268658,77.2329278
28.5567703,77.2331413
28.6429706,77.2226296
28.568831,77.186991
28.6291804,77.219755
28.633169,77.2179864
28.6097558,77.1362048
28.6339281,77.217254
28.6337075,77.2169847
28.6271924,77.2196393
28.632007,77.2176823
28.5878888,77.1699468
28.5697729,77.3328664
28.5677328,77.3212612
28.6421175,77.10692
28.6778452,77.2054951
28.6578827,77.1888491
28.6410202,77.2126034
28.6407001,77.211572
28.5676803,77.2472215
28.5670801,77.2469115
28.5674361,77.2466759
28.6353515,77.2190315
28.6322944,77.2213883
28.6350577,77.2181263
